Date,Category,Amount,Day of the Week,Description
2022-01-05 14:30:00,food,388.0,Unknown,Unknown
2022-01-04 22:11:00,education,1400.0,Unknown,Unknown
2022-01-04 22:10:00,salary,8000.0,Unknown,Unknown
2022-01-04 13:53:00,food,106.0,Unknown,Unknown
2022-01-04 08:01:00,other,80.0,Unknown,Unknown
2022-01-04 07:58:00,food,107.0,Unknown,Unknown
2022-01-03 22:15:00,food,10.0,Unknown,Unknown
2022-01-03 21:54:00,other,201.0,Unknown,Unknown
2022-01-03 21:12:00,other,5.0,Unknown,Unknown
2022-01-03 21:11:00,other,140.0,Unknown,Unknown
2022-01-03 14:31:00,food,300.0,Unknown,Unknown
2022-01-03 14:30:00,other,300.0,Unknown,Unknown
2022-01-02 20:33:00,other,8.0,Unknown,Unknown
2022-01-02 20:32:00,food,200.0,Unknown,Unknown
2022-01-02 14:16:00,transportation,725.0,Unknown,Unknown
2022-01-01 21:46:00,food,85.0,Unknown,Unknown
2022-01-01 21:45:00,allowance,1000.0,Unknown,Unknown
2021-12-30 14:10:00,food,20.0,Unknown,Unknown
2021-12-30 13:56:00,transportation,43.0,Unknown,Unknown
2021-12-30 13:36:00,other,30.0,Unknown,Unknown
2021-12-30 12:43:00,food,25.0,Unknown,Unknown
2021-12-30 12:38:00,transportation,199.0,Unknown,Unknown
2021-12-30 12:37:00,other,250.0,Unknown,Unknown
2021-12-30 11:45:00,food,20.0,Unknown,Unknown
2021-12-30 11:45:00,other,20.0,Unknown,Unknown
2021-12-30 11:45:00,transportation,286.0,Unknown,Unknown
2021-12-30 11:44:00,other,250.0,Unknown,Unknown
2021-12-28 13:42:00,food,14.0,Unknown,Unknown
2021-12-27 13:45:00,food,115.0,Unknown,Unknown
2021-12-27 13:44:00,other,80.0,Unknown,Unknown
2021-12-27 12:33:00,other,40.0,Unknown,Unknown
2021-12-27 12:33:00,food,50.0,Unknown,Unknown
2021-12-25 22:53:00,food,504.0,Unknown,Unknown
2021-12-25 20:46:00,transportation,306.0,Unknown,Unknown
2021-12-25 19:50:00,self-development,400.0,Unknown,Unknown
2021-12-25 17:01:00,food,30.0,Unknown,Unknown
2021-12-25 15:35:00,food,30.0,Unknown,Unknown
2021-12-25 13:32:00,food,40.0,Unknown,Unknown
2021-12-24 21:49:00,social life,150.0,Unknown,Unknown
2021-12-24 14:35:00,food,262.0,Unknown,Unknown
2021-12-23 16:31:00,food,15.0,Unknown,Unknown
2021-12-23 13:51:00,food,32.0,Unknown,Unknown
2021-12-21 20:53:00,food,239.0,Unknown,Unknown
2021-12-21 14:02:00,food,25.0,Unknown,Unknown
2021-12-21 11:43:00,food,18.0,Unknown,Unknown
2021-12-20 19:23:00,food,80.0,Unknown,Unknown
2021-12-20 19:22:00,transportation,80.0,Unknown,Unknown
2021-12-20 16:55:00,food,20.0,Unknown,Unknown
2021-12-20 15:29:00,food,20.0,Unknown,Unknown
2021-12-20 13:35:00,food,85.0,Unknown,Unknown
2021-12-20 09:46:00,food,40.0,Unknown,Unknown
2021-12-19 15:51:00,other,100.0,Unknown,Unknown
2021-12-18 21:01:00,other,100.0,Unknown,Unknown
2021-12-18 21:01:00,other,200.0,Unknown,Unknown
2021-12-18 21:00:00,food,113.0,Unknown,Unknown
2021-12-18 21:00:00,allowance,1000.0,Unknown,Unknown
2021-12-18 19:52:00,other,400.0,Unknown,Unknown
2021-12-18 19:51:00,social life,363.72,Unknown,Unknown
2021-12-18 14:19:00,food,160.0,Unknown,Unknown
2021-12-17 18:54:00,food,70.0,Unknown,Unknown
2021-12-17 14:45:00,food,110.0,Unknown,Unknown
2021-12-17 08:35:00,other,50.0,Unknown,Unknown
2021-12-16 18:44:00,food,30.0,Unknown,Unknown
2021-12-16 18:35:00,food,20.0,Unknown,Unknown
2021-12-16 13:38:00,food,30.0,Unknown,Unknown
2021-12-16 10:42:00,food,110.0,Unknown,Unknown
2021-12-14 23:54:00,food,40.0,Unknown,Unknown
2021-12-14 21:21:00,food,75.0,Unknown,Unknown
2021-12-14 21:03:00,food,80.0,Unknown,Unknown
2021-12-14 15:18:00,food,74.0,Unknown,Unknown
2021-12-14 10:33:00,food,65.0,Unknown,Unknown
2021-12-12 21:47:00,food,25.0,Unknown,Unknown
2021-12-11 09:22:00,allowance,1000.0,Unknown,Unknown
2021-12-11 08:20:00,other,240.0,Unknown,Unknown
2021-12-10 21:38:00,food,241.0,Unknown,Unknown
2021-12-10 20:55:00,food,195.0,Unknown,Unknown
2021-12-09 20:03:00,food,40.0,Unknown,Unknown
2021-12-09 14:01:00,food,280.0,Unknown,Unknown
2021-12-09 09:56:00,food,25.0,Unknown,Unknown
2021-12-09 08:47:00,food,110.0,Unknown,Unknown
2021-12-08 14:15:00,food,100.0,Unknown,Unknown
2021-12-08 14:15:00,food,15.0,Unknown,Unknown
2021-12-08 07:17:00,food,10.0,Unknown,Unknown
2021-12-07 09:54:00,food,25.0,Unknown,Unknown
2021-12-07 07:59:00,food,15.0,Unknown,Unknown
2021-12-06 21:59:00,food,25.0,Unknown,Unknown
2021-12-06 20:07:00,apparel,500.0,Unknown,Unknown
2021-12-06 19:57:00,apparel,140.0,Unknown,Unknown
2021-12-06 14:08:00,food,150.0,Unknown,Unknown
2021-12-05 19:45:00,food,25.0,Unknown,Unknown
2021-12-05 18:41:00,apparel,1800.0,Unknown,Unknown
2021-12-05 12:23:00,household,4800.0,Unknown,Unknown
2021-12-05 12:23:00,allowance,8000.0,Unknown,Unknown
2021-12-04 21:05:00,food,324.0,Unknown,Unknown
2021-12-04 20:20:00,food,65.0,Unknown,Unknown
2021-12-04 13:54:00,other,30.0,Unknown,Unknown
2021-12-04 10:13:00,food,200.0,Unknown,Unknown
2021-12-03 21:59:00,food,25.0,Unknown,Unknown
2021-12-03 21:59:00,apparel,130.0,Unknown,Unknown
2021-12-03 21:28:00,apparel,20.0,Unknown,Unknown
2021-12-03 21:28:00,food,40.0,Unknown,Unknown
2021-12-03 21:28:00,allowance,1000.0,Unknown,Unknown
2021-12-02 20:07:00,food,504.0,Unknown,Unknown
2021-12-02 19:48:00,food,75.0,Unknown,Unknown
2021-12-01 19:57:00,beauty,196.0,Unknown,Unknown
2021-12-01 14:00:00,food,160.0,Unknown,Unknown
2021-11-30 14:24:00,gift,115.0,Unknown,Unknown
2021-11-30 14:17:00,food,128.0,Unknown,Unknown
2021-11-30 10:11:00,food,70.0,Unknown,Unknown
2021-11-29 20:47:00,food,40.0,Unknown,Unknown
2021-11-29 20:47:00,food,50.0,Unknown,Unknown
2021-11-29 20:09:00,food,40.0,Unknown,Unknown
2021-11-29 09:29:00,food,40.0,Unknown,Unknown
2021-11-28 19:59:00,food,94.0,Unknown,Unknown
2021-11-28 13:10:00,food,269.4,Unknown,Unknown
2021-11-27 23:14:00,food,120.0,Unknown,Unknown
2021-11-27 22:34:00,food,130.0,Unknown,Unknown
2021-11-27 18:41:00,transportation,35.0,Unknown,Unknown
2021-11-27 13:46:00,food,75.0,Unknown,Unknown
2021-11-27 13:46:00,allowance,2000.0,Unknown,Unknown
2021-11-27 09:33:00,food,30.0,Unknown,Unknown
2021-11-26 21:56:00,food,150.0,Unknown,Unknown
2021-11-26 20:57:00,food,102.0,Unknown,Unknown
2021-11-26 20:15:00,food,40.0,Unknown,Unknown
2021-11-26 14:14:00,petty cash,3.0,Unknown,Unknown
2021-11-26 14:14:00,food,150.0,Unknown,Unknown
2021-11-26 09:22:00,food,60.0,Unknown,Unknown
2021-11-25 20:27:00,food,145.0,Unknown,Unknown
2021-11-25 20:27:00,transportation,58.0,Unknown,Unknown
2021-11-25 20:27:00,food,95.0,Unknown,Unknown
2021-11-24 19:26:00,food,15.0,Unknown,Unknown
2021-11-24 19:23:00,food,70.0,Unknown,Unknown
2021-11-24 19:06:00,food,20.0,Unknown,Unknown
2021-11-24 19:06:00,transportation,58.0,Unknown,Unknown
2021-11-23 22:53:00,transportation,50.0,Unknown,Unknown
2021-11-23 22:53:00,food,179.0,Unknown,Unknown
2021-11-22 14:16:00,food,90.0,Unknown,Unknown
2021-11-22 14:16:00,food,97.0,Unknown,Unknown
